Date,Time,levelname,Component,message,processname
2020-05-25,"10:00:00,024",INFO,MainProcess,sync with celery1@None,celery3.log
2020-05-25,"10:00:11,501",INFO,MainProcess,sync with celery3@None,celery10.log
2020-05-25,"10:00:11,501",INFO,MainProcess,sync with celery3@None,celery8.log
2020-05-25,"10:00:23,225",INFO,MainProcess,sync with celery5@None,celery8.log
2020-05-25,"10:00:06,221",INFO,MainProcess,sync with celery2@None,celery7.log
2020-05-25,"14:30:34,877",INFO,MainProcess,missed heartbeat from celery3@None,celery7.log
2020-05-25,"12:23:27,620",WARNING,ForkPoolWorker-6,X.shape :,celery3-6.log
2020-05-25,"14:22:32,944",INFO,MainProcess,missed heartbeat from celery2@None,celery6.log
2020-05-25,"14:22:32,944",INFO,MainProcess,missed heartbeat from celery1@None,celery6.log
2020-05-25,"14:22:32,944",INFO,MainProcess,missed heartbeat from celery7@None,celery6.log
2020-05-25,"14:22:32,944",INFO,MainProcess,missed heartbeat from celery8@None,celery6.log
2020-05-25,"14:22:32,944",INFO,MainProcess,missed heartbeat from celery10@None,celery6.log
2020-05-25,"14:22:32,944",INFO,MainProcess,missed heartbeat from celery5@None,celery6.log
2020-05-25,"14:22:32,944",INFO,MainProcess,missed heartbeat from celery4@None,celery6.log
2020-05-25,"14:30:34,877",INFO,MainProcess,missed heartbeat from celery2@None,celery7.log
2020-05-25,"14:22:32,944",INFO,MainProcess,missed heartbeat from celery9@None,celery6.log
2020-05-25,"14:22:32,367",INFO,MainProcess,Received task: task_analysis.sna[41bf13fb-3d17-4cd5-b31d-d7168b71fda4],celery6.log
2020-05-25,"10:00:51,989",INFO,MainProcess,sync with celery10@None,celery6.log
2020-05-25,"10:00:34,225",INFO,MainProcess,sync with celery7@None,celery6.log
2020-05-25,"10:00:23,225",INFO,MainProcess,sync with celery5@None,celery6.log
2020-05-25,"10:00:11,502",INFO,MainProcess,sync with celery3@None,celery6.log
2020-05-25,"10:00:00,024",INFO,MainProcess,sync with celery1@None,celery6.log
2020-05-25,"11:58:25,932",INFO,MainProcess,Received task: task_analysis.sna[97273ba9-90ba-4884-8696-8286110f3eb7],celery2.log
2020-05-25,"10:00:45,804",INFO,MainProcess,sync with celery9@None,celery2.log
2020-05-25,"10:00:28,358",INFO,MainProcess,sync with celery6@None,celery2.log
2020-05-25,"14:22:32,944",INFO,MainProcess,missed heartbeat from worker@None,celery6.log
2020-05-25,"10:40:05,086",WARNING,ForkPoolWorker-6,make graph,celery9-6.log
2020-05-25,"14:30:34,877",INFO,MainProcess,missed heartbeat from celery1@None,celery7.log
2020-05-25,"14:30:34,877",INFO,MainProcess,missed heartbeat from celery10@None,celery7.log
2020-05-25,"10:00:51,989",INFO,MainProcess,sync with celery10@None,celery1.log
2020-05-25,"14:01:42,644",WARNING,ForkPoolWorker-6,make graph,celery5-6.log
2020-05-25,"14:01:43,591",WARNING,ForkPoolWorker-6,X.shape :,celery5-6.log
2020-05-25,"14:01:43,592",WARNING,ForkPoolWorker-6,"(5614, 1051)",celery5-6.log
2020-05-25,"14:01:44,246",WARNING,ForkPoolWorker-6,graphbuild_finish,celery5-6.log
2020-05-25,"14:01:44,261",WARNING,ForkPoolWorker-6,<Response [200]>,celery5-6.log
2020-05-25,"14:01:44,265",INFO,ForkPoolWorker-6,Task task_analysis.sna[43cc563d-e48f-4897-bbff-624ad6c5fa08] succeeded in 1.6212904267013073s: None,celery5-6.log
2020-05-25,"10:56:41,272",INFO,MainProcess,Received task: task_analysis.sna[3ede71a2-a097-4c03-a901-bda5065965bd],celery1.log
2020-05-25,"13:10:37,123",INFO,MainProcess,Received task: task_analysis.sna[c901c1e7-5e92-49c3-99a5-549a915b7486],celery4.log
2020-05-25,"14:30:34,877",INFO,MainProcess,missed heartbeat from celery8@None,celery7.log
2020-05-25,"10:00:45,804",INFO,MainProcess,sync with celery9@None,celery4.log
2020-05-25,"10:00:06,222",INFO,MainProcess,sync with celery2@None,celery4.log
2020-05-25,"10:00:17,145",INFO,MainProcess,sync with celery4@None,celery7.log
2020-05-25,"10:00:28,358",INFO,MainProcess,sync with celery6@None,celery7.log
2020-05-25,"10:00:40,157",INFO,MainProcess,sync with celery8@None,celery7.log
2020-05-25,"14:30:34,307",INFO,MainProcess,Received task: task_analysis.sna[1b03fe6e-621d-4b02-9024-988fd6ff3750],celery7.log
2020-05-25,"14:30:34,877",INFO,MainProcess,missed heartbeat from worker@None,celery7.log
2020-05-25,"14:30:34,877",INFO,MainProcess,missed heartbeat from celery9@None,celery7.log
2020-05-25,"14:30:34,877",INFO,MainProcess,missed heartbeat from celery4@None,celery7.log
2020-05-25,"14:30:34,877",INFO,MainProcess,missed heartbeat from celery5@None,celery7.log
2020-05-25,"10:00:23,225",INFO,MainProcess,sync with celery5@None,celery4.log
2020-05-25,"11:58:27,859",WARNING,ForkPoolWorker-6,make graph,celery2-6.log
2020-05-25,"10:00:00,025",INFO,MainProcess,sync with celery1@None,celery2.log
2020-05-25,"11:58:33,154",WARNING,ForkPoolWorker-6,"(30158, 1052)",celery2-6.log
2020-05-25,"14:36:16,879",WARNING,ForkPoolWorker-6,"(46155, 1025)",celery8-6.log
2020-05-25,"14:36:16,879",WARNING,ForkPoolWorker-6,X.shape :,celery8-6.log
2020-05-25,"14:36:08,530",WARNING,ForkPoolWorker-6,make graph,celery8-6.log
2020-05-25,"13:10:37,576",WARNING,ForkPoolWorker-6,make graph,celery4-6.log
2020-05-25,"13:10:38,639",WARNING,ForkPoolWorker-6,X.shape :,celery4-6.log
2020-05-25,"13:10:38,639",WARNING,ForkPoolWorker-6,"(5614, 1051)",celery4-6.log
2020-05-25,"13:10:39,233",WARNING,ForkPoolWorker-6,graphbuild_finish,celery4-6.log
2020-05-25,"14:31:05,463",INFO,ForkPoolWorker-6,Task task_analysis.sna[1b03fe6e-621d-4b02-9024-988fd6ff3750] succeeded in 24.109724038280547s: None,celery7-6.log
